latitude,longitude,altitude,geometry,osm_id,name,capacity,amenity,iscedlevel
18.6527152,-72.2530639,,Point,4202383283,Ecole Professionnelle,,college,
18.66575,-72.2437719,,Point,4202504616,Institution Mixte Roi Henry Christophe,,school,
18.654529500000002,-72.253988,,Point,4202714666,Centre Pedagogique Chrétien,,school,
18.6561683,-72.2527573,,Point,4202766226,Brihano Center School Of Technologie,,college,
18.6518866,-72.2553222,,Point,4202766227,Ecole Laurore Chrétienne,,school,
18.6562119,-72.2527825,,Point,4202766228,Ecole The Brihan Bird,,school,
18.6567773,-72.2522768,,Point,4202783119,Ecole Evangelique Union de Corail,,school,
18.6570594,-72.2520367,,Point,4202783123,,,school,
18.6487868,-72.254746,,Point,4204968489,Ecole Saint Paul,,school,
18.6514277,-72.2540325,,Point,4204968490,Institution Mixte UPPER ROOM SCHOOL,,school,
18.6554789,-72.2534142,,Point,4204990889,Collège Mixte les Brebis,,school,
18.6561049,-72.2528761,,Point,4205165491,Collège Vision Mondiale,,school,
18.6571871,-72.2518258,,Point,4205165493,Institution Mixte Sourire D'Enfants,,school,
18.6619849,-72.2428161,,Point,4207192772,,,school,
18.6620054,-72.2431137,,Point,4207192773,,,school,
18.6621652,-72.242814,,Point,4207192774,,,school,
18.6621703,-72.2431108,,Point,4207192775,,,school,
18.6623133,-72.2744724,,Point,4209486228,Institution Mixte Frères Bonimet IMFB,,school,
18.6551832,-72.2723892,,Point,4210828581,InstitutionMixte Des Fréres Adventistes De Canaan,,school,
18.6501709,-72.2676429,,Point,4210995384,Institution Pédagogique Des Sciences Modernes,,school,
18.6505961,-72.2675925,,Point,4211021698,Ecole Notre Dame Mont- Carmel,,school,
18.6546521,-72.2702378,,Point,4211036376,Institution Mixte des Frères de Canaan,,school,
18.6475843,-72.2609729,,Point,4211048710,La Colombe,,school,
18.6486365,-72.2612029,,Point,4211057314,Ecole Communautaire De La Fondation ECOVINAR,,school,
18.648377000000004,-72.2604118,,Point,4211057315,Institution Mixte Communautaire Deronette,,school,
18.6521767,-72.268867,,Point,4211111989,Hope Christian School,,school,
18.6514456,-72.2704733,,Point,4211141324,SAJH Ecole Professionelle,,school,
18.6514402,-72.2700133,,Point,4211151252,Ecole Grace's Kitchen,,school,
18.6510585,-72.2664693,,Point,4211196029,Ecole Evangélique Baptiste Bethesda,,school,
18.6505673,-72.2700219,,Point,4211247235,Institution Mixte Alpha,,school,
18.652993,-72.2717077,,Point,4211247236,Institution Mixte Siloé,,school,
18.6479797,-72.2671655,,Point,4215489988,Institution Mixte le Génie,,school,
18.6490025,-72.26275360000001,,Point,4215498835,Fondation Noldy,,school,
18.6489752,-72.2627198,,Point,4215504817,Institution Mixte Delcarme Saint Victor,,school,
18.6490525,-72.2601829,,Point,4215504818,Institution Mixte Maison De Marthe,,school,
18.652535700000005,-72.2690742,,Point,4215579343,Institution Mixte Du Bon Samaritain,,school,
18.6500794,-72.2692327,,Point,4215718587,Institution Mixte De Reconfort IMR,,school,
18.6472389,-72.26298950000002,,Point,4215737447,Institution Mixte Jean Clenold,,school,
18.6453122,-72.2709303,,Point,4215777107,Institution Mixte le Rocher,,school,
18.6495311,-72.2663995,,Point,4215778780,Ecole Mixte la Belle Semence,,school,
18.6471922,-72.2633357,,Point,4215817541,Ecole Fleur De Lune,,school,
18.6473559,-72.2640156,,Point,4215879489,Collège Chrétien Source De Vie/ Primaire,,school,
18.6471406,-72.2642555,,Point,4215879490,Collège Chrétien Source De Vie/ Secondaire,,school,
18.646211200000003,-72.26632050000002,,Point,4215969003,Institution mixte Yavé Shama,,school,
18.6534438,-72.2819396,,Point,4215989210,Centre de Formation Proffessionnelle des Femmes Proffessionnelles,,college,
18.6474112,-72.2693181,,Point,4215992216,Ecole Professionelle,,college,
18.6475081,-72.2690065,,Point,4215992218,Fondation Birth D'Haiti,,school,
18.6536719,-72.2744613,,Point,4216107767,Happy Heart Kids Kingdou,,school,
18.6456634,-72.2727427,,Point,4217432597,Académie Michel Sena,,school,
18.649525000000004,-72.2766404,,Point,4217586797,Ecole Nouvelle Institution Chricha,,school,
